YEAR,COUNTY,MSSA_ID,MSSA_NAME,MSSA_TYPE,Race_ethnicity,Population,Adolescent_births,Indicator,Annotation,Indicator_rate,Indicator_ll,Indicator_ul
2010-2012,Plumas,125,Bailey Creek/Canyondam/Chester/Eastshore/Foxwood/Hamilton Branch/Lake Almanor Peninsula/Lake Almanor Peninsula/Lake Almanor West/Prattville/Warner Valley,Frontier,ASIAN,3,0,PRB,,0,,
2010-2012,Plumas,125,Bailey Creek/Canyondam/Chester/Eastshore/Foxwood/Hamilton Branch/Lake Almanor Peninsula/Lake Almanor Peninsula/Lake Almanor West/Prattville/Warner Valley,Frontier,ASIAN,3,0,PBHP,,0,,
2010-2012,Plumas,125,Bailey Creek/Canyondam/Chester/Eastshore/Foxwood/Hamilton Branch/Lake Almanor Peninsula/Lake Almanor Peninsula/Lake Almanor West/Prattville/Warner Valley,Frontier,BLACK,3,0,ABR,,0,,
2010-2012,Plumas,125,Bailey Creek/Canyondam/Chester/Eastshore/Foxwood/Hamilton Branch/Lake Almanor Peninsula/Lake Almanor Peninsula/Lake Almanor West/Prattville/Warner Valley,Frontier,BLACK,3,0,PRB,,0,,
2010-2012,Plumas,125,Bailey Creek/Canyondam/Chester/Eastshore/Foxwood/Hamilton Branch/Lake Almanor Peninsula/Lake Almanor Peninsula/Lake Almanor West/Prattville/Warner Valley,Frontier,BLACK,3,0,PBHP,,0,,
2010-2012,Plumas,125,Bailey Creek/Canyondam/Chester/Eastshore/Foxwood/Hamilton Branch/Lake Almanor Peninsula/Lake Almanor Peninsula/Lake Almanor West/Prattville/Warner Valley,Frontier,HISP,41,0,ABR,,0,,
2010-2012,Sacramento,138,Rancho Murieta/Sloughhouse,Rural,ASIAN,246,0,ABR,,0,,
2010-2012,Plumas,125,Bailey Creek/Canyondam/Chester/Eastshore/Foxwood/Hamilton Branch/Lake Almanor Peninsula/Lake Almanor Peninsula/Lake Almanor West/Prattville/Warner Valley,Frontier,HISP,41,0,PRB,,0,,
2010-2012,Plumas,125,Bailey Creek/Canyondam/Chester/Eastshore/Foxwood/Hamilton Branch/Lake Almanor Peninsula/Lake Almanor Peninsula/Lake Almanor West/Prattville/Warner Valley,Frontier,HISP,41,0,PBHP,,0,,
2010-2012,Riverside,126,Blythe,Rural,ASIAN,21,0,ABR,,0,,
2010-2012,Riverside,126,Blythe,Rural,ASIAN,21,0,PRB,,0,,
2010-2012,Riverside,126,Blythe,Rural,ASIAN,21,0,PBHP,,0,,
2010-2012,Riverside,127,Chiriaco Summit/Desert Center/Eagle Mountain,Frontier,ASIAN,0,0,ABR,,0,,
2010-2012,Riverside,127,Chiriaco Summit/Desert Center/Eagle Mountain,Frontier,ASIAN,0,0,PRB,,0,,
2010-2012,Riverside,127,Chiriaco Summit/Desert Center/Eagle Mountain,Frontier,ASIAN,0,0,PBHP,,0,,
2010-2012,Riverside,127,Chiriaco Summit/Desert Center/Eagle Mountain,Frontier,BLACK,0,0,ABR,,0,,
2010-2012,Riverside,127,Chiriaco Summit/Desert Center/Eagle Mountain,Frontier,BLACK,0,0,PRB,,0,,
2010-2012,Riverside,127,Chiriaco Summit/Desert Center/Eagle Mountain,Frontier,BLACK,0,0,PBHP,,0,,
2010-2012,Riverside,129.1,Bermuda Dunes South/Indian Wells/La Quinta West/Palm Desert/Rancho Mirage Central and South,Urban,BLACK,203,0,ABR,,0,,
2010-2012,Riverside,129.1,Bermuda Dunes South/Indian Wells/La Quinta West/Palm Desert/Rancho Mirage Central and South,Urban,BLACK,203,0,PRB,,0,,
2010-2012,Riverside,129.1,Bermuda Dunes South/Indian Wells/La Quinta West/Palm Desert/Rancho Mirage Central and South,Urban,BLACK,203,0,PBHP,,0,,
2010-2012,Riverside,129.3,Agua Caliente/Palm Springs Central,Urban,ASIAN,109,0,ABR,,0,,
2010-2012,Riverside,129.3,Agua Caliente/Palm Springs Central,Urban,ASIAN,109,0,PRB,,0,,
